"subj","item","spkr","prec","load","rt_trunc","rt_raw"
"S031","I32","old","break","no",1521,1521
"S034","I01","new","break","yes",2107,2107
"S034","I02","old","maintain","no",4977,4977
"S034","I03","old","break","no",1828,1828
"S034","I04","new","maintain","no",3595,3595
"S034","I05","new","break","no",3001,3001
"S034","I06","old","maintain","yes",3245,3245
"S034","I07","old","break","yes",3249,3249
"S034","I08","new","maintain","yes",1982,1982
"S034","I09","new","break","yes",3051,3051
"S034","I10","old","maintain","no",1709,1709
"S034","I11","old","break","no",3872,3872
"S034","I12","new","maintain","no",2888,2888
"S034","I13","new","break","no",1537,1537
"S034","I14","old","maintain","yes",2542,2542
"S034","I15","old","break","yes",3634,3634
"S034","I16","new","maintain","yes",3142,3142
"S034","I17","new","break","yes",1544,1544
"S034","I18","old","maintain","no",1782,1782
"S034","I19","old","break","no",1657,1657
"S034","I20","new","maintain","no",1429,1429
"S034","I21","new","break","no",2551,2551
"S034","I22","old","maintain","yes",3045,3045
"S034","I23","old","break","yes",2245,2245
"S034","I24","new","maintain","yes",1858,1858
"S034","I25","new","break","yes",2736,2736
"S034","I26","old","maintain","no",2017,2017
"S034","I27","old","break","no",3059,3059
"S034","I28","new","maintain","no",2026,2026
"S034","I29","new","break","no",2043,2043
"S034","I30","old","maintain","yes",3164,3164
"S034","I31","old","break","yes",1881,1881
"S034","I32","new","maintain","yes",1800,1800
"S035","I01","new","maintain","yes",1506,1506
"S035","I02","new","break","yes",1532,1532
"S035","I03","old","maintain","no",1528,1528
"S035","I04","old","break","no",1492,1492
"S035","I05","new","maintain","no",1078,1078
"S035","I06","new","break","no",2283,2283
"S035","I07","old","maintain","yes",2307,2307
"S035","I08","old","break","yes",2702,2702
"S035","I09","new","maintain","yes",1668,1668
"S035","I10","new","break","yes",988,988
"S035","I11","old","maintain","no",1268,1268
"S035","I12","old","break","no",3569,3569
"S035","I13","new","maintain","no",1176,1176
"S035","I14","new","break","no",2702,2702
"S035","I15","old","maintain","yes",1691,1691
"S035","I16","old","break","yes",2381,2381
"S035","I17","new","maintain","yes",1244,1244
"S035","I18","new","break","yes",1862,1862
"S035","I19","old","maintain","no",1216,1216
"S035","I20","old","break","no",1108,1108
"S035","I21","new","maintain","no",1549,1549
"S035","I22","new","break","no",1483,1483
"S035","I23","old","maintain","yes",3547,3547
"S035","I24","old","break","yes",2939,2939
"S035","I25","new","maintain","yes",1535,1535
"S035","I26","new","break","yes",1738,1738
"S035","I27","old","maintain","no",856,856
"S035","I28","old","break","no",3048,3048
"S035","I29","new","maintain","no",1362,1362
"S035","I30","new","break","no",1621,1621
"S035","I31","old","maintain","yes",1941,1941
"S035","I32","old","break","yes",1801,1801
"S036","I01","old","maintain","yes",2087,2087
"S036","I02","old","break","yes",2453,2453
"S036","I03","new","maintain","yes",2148,2148
"S036","I04","new","break","yes",2474,2474
"S036","I05","old","maintain","no",1419,1419
"S036","I06","old","break","no",4626,4626
"S036","I07","new","maintain","no",2127,2127
"S036","I08","new","break","no",2923,2923
"S036","I09","old","maintain","yes",1969,1969
"S036","I10","old","break","yes",3110,3110
"S036","I11","new","maintain","yes",1709,1709
"S036","I12","new","break","yes",3269,3269
"S036","I13","old","maintain","no",1637,1637
"S036","I14","old","break","no",5171,5706
"S036","I15","new","maintain","no",1711,1711
"S036","I16","new","break","no",2822,2822
"S036","I17","old","maintain","yes",2406,2406
"S036","I18","old","break","yes",3084,3084
"S036","I19","new","maintain","yes",2338,2338
"S036","I20","new","break","yes",1849,1849
"S036","I21","old","maintain","no",1409,1409
"S036","I22","old","break","no",5171,6610
"S036","I23","new","maintain","no",2906,2906
"S036","I24","new","break","no",5142,5142
"S036","I25","old","maintain","yes",2596,2596
"S036","I26","old","break","yes",2298,2298
"S036","I27","new","maintain","yes",2398,2398
"S036","I28","new","break","yes",3248,3248
"S036","I29","old","maintain","no",1042,1042
"S036","I30","old","break","no",3504,3504
"S036","I31","new","maintain","no",1921,1921
"S036","I32","new","break","no",2001,2001
"S037","I01","old","break","yes",1726,1726
"S037","I02","new","maintain","yes",2233,2233
"S037","I03","new","break","yes",2588,2588
"S037","I04","old","maintain","no",1171,1171
"S037","I05","old","break","no",2480,2480
"S037","I06","new","maintain","no",1903,1903
"S037","I07","new","break","no",5171,6252
"S037","I08","old","maintain","yes",1581,1581
"S037","I09","old","break","yes",2470,2470
"S037","I10","new","maintain","yes",1889,1889
"S037","I11","new","break","yes",2049,2049
"S037","I12","old","maintain","no",1386,1386
"S037","I13","old","break","no",1757,1757
"S037","I14","new","maintain","no",1801,1801
"S037","I15","new","break","no",1291,1291
"S037","I16","old","maintain","yes",1179,1179
"S037","I17","old","break","yes",1504,1504
"S037","I18","new","maintain","yes",921,921
"S037","I19","new","break","yes",3179,3179
"S037","I20","old","maintain","no",1568,1568
"S037","I21","old","break","no",1870,1870
"S037","I22","new","maintain","no",1222,1222
"S037","I23","new","break","no",2886,2886
"S037","I24","old","maintain","yes",1237,1237
"S037","I25","old","break","yes",1695,1695
"S037","I26","new","maintain","yes",2057,2057
"S037","I27","new","break","yes",2138,2138
"S037","I28","old","maintain","no",2046,2046
"S037","I29","old","break","no",2364,2364
"S037","I30","new","maintain","no",2523,2523
"S037","I31","new","break","no",2262,2262
"S037","I32","old","maintain","yes",1520,1520
"S038","I01","old","maintain","no",2247,2247
"S038","I02","old","break","no",2674,2674
"S038","I03","new","maintain","no",1927,1927
"S038","I04","new","break","no",5171,6960
"S038","I05","old","maintain","yes",1999,1999
"S038","I06","old","break","yes",1923,1923
"S038","I07","new","maintain","yes",2047,2047
"S038","I08","new","break","yes",5171,10634
"S038","I09","old","maintain","no",2069,2069
"S038","I10","old","break","no",1488,1488
"S038","I11","new","maintain","no",1849,1849
"S038","I12","new","break","no",3489,3489
"S038","I13","old","maintain","yes",2478,2478
"S038","I14","old","break","yes",2441,2441
"S038","I15","new","maintain","yes",1271,1271
"S038","I16","new","break","yes",2582,2582
"S038","I17","old","maintain","no",1624,1624
"S038","I18","old","break","no",2283,2283
"S038","I19","new","maintain","no",1797,1797
"S038","I20","new","break","no",1328,1328
"S038","I21","old","maintain","yes",1649,1649
"S038","I22","old","break","yes",2445,2445
"S038","I23","new","maintain","yes",2245,2245
"S038","I24","new","break","yes",2478,2478
"S038","I25","old","maintain","no",1795,1795
"S038","I26","old","break","no",2638,2638
"S038","I27","new","maintain","no",976,976
"S038","I28","new","break","no",2146,2146
"S038","I29","old","maintain","yes",1843,1843
"S038","I30","old","break","yes",3204,3204
"S038","I31","new","maintain","yes",1741,1741
"S038","I32","new","break","yes",1841,1841
"S039","I01","old","break","no",1385,1385
"S039","I02","new","maintain","no",1492,1492
"S039","I03","new","break","no",2168,2168
"S039","I04","old","maintain","yes",951,951
"S039","I05","old","break","yes",2160,2160
"S039","I06","new","maintain","yes",1362,1362
"S039","I07","new","break","yes",4290,4290
"S039","I08","old","maintain","no",860,860
"S039","I09","old","break","no",1869,1869
"S039","I10","new","maintain","no",928,928
"S039","I11","new","break","no",4532,4532
"S039","I12","old","maintain","yes",1847,1847
"S039","I13","old","break","yes",1397,1397
"S039","I14","new","maintain","yes",1460,1460
"S039","I15","new","break","yes",1571,1571
"S039","I16","old","maintain","no",1059,1059
"S039","I17","old","break","no",1204,1204
"S039","I18","new","maintain","no",1101,1101
"S039","I19","new","break","no",1697,1697
"S039","I20","old","maintain","yes",1108,1108
"S039","I21","old","break","yes",1429,1429
"S039","I22","new","maintain","yes",1424,1424
"S039","I23","new","break","yes",1604,1604
"S039","I24","old","maintain","no",936,936
"S039","I25","old","break","no",2416,2416
"S039","I26","new","maintain","no",1216,1216
"S039","I27","new","break","no",1738,1738
"S039","I28","old","maintain","yes",2286,2286
"S039","I29","old","break","yes",3114,3114
"S039","I30","new","maintain","yes",1842,1842
"S039","I31","new","break","yes",1781,1781
"S039","I32","old","maintain","no",1039,1039
"S041","I01","new","break","no",1486,1486
"S041","I02","old","maintain","yes",1492,1492
"S041","I03","old","break","yes",1687,1687
"S041","I04","new","maintain","yes",1171,1171
"S041","I05","new","break","yes",1719,1719
"S041","I06","old","maintain","no",1301,1301
"S041","I07","old","break","no",2427,2427
"S041","I08","new","maintain","no",1181,1181
"S041","I09","new","break","no",1168,1168
"S041","I10","old","maintain","yes",1228,1228
"S041","I11","old","break","yes",1689,1689
"S041","I12","new","maintain","yes",2408,2408
"S041","I13","new","break","yes",3119,3119
"S041","I14","old","maintain","no",1621,1621
"S041","I15","old","break","no",1531,1531
"S041","I16","new","maintain","no",1219,1219
"S041","I17","new","break","no",1644,1644
"S041","I18","old","maintain","yes",1241,1241
"S041","I19","old","break","yes",1977,1977
"S041","I20","new","maintain","yes",1128,1128
"S041","I21","new","break","yes",1369,1369
"S041","I22","old","maintain","no",1333,1333
"S041","I23","old","break","no",1784,1784
"S041","I24","new","maintain","no",1237,1237
"S041","I25","new","break","no",1174,1174
"S041","I26","old","maintain","yes",1737,1737
"S041","I27","old","break","yes",1877,1877
"S041","I28","new","maintain","yes",1245,1245
"S041","I29","new","break","yes",1202,1202
"S041","I30","old","maintain","no",1141,1141
"S041","I31","old","break","no",1120,1120
"S041","I32","new","maintain","no",1140,1140
"S042","I01","new","maintain","no",2748,2748
"S042","I02","new","break","no",3315,3315
"S042","I03","old","maintain","yes",2408,2408
"S042","I04","old","break","yes",3114,3114
"S042","I05","new","maintain","yes",2360,2360
"S042","I06","new","break","yes",3986,3986
"S042","I07","old","maintain","no",2086,2086
"S042","I08","old","break","no",3724,3724
"S042","I09","new","maintain","no",1909,1909
"S042","I10","new","break","no",2169,2169
"S042","I11","old","maintain","yes",1749,1749
"S042","I12","old","break","yes",3850,3850
"S042","I13","new","maintain","yes",2818,2818
"S042","I14","new","break","yes",2983,2983
"S042","I15","old","maintain","no",2112,2112
"S042","I16","old","break","no",3202,3202
"S042","I17","new","maintain","no",1805,1805
"S042","I18","new","break","no",3284,3284
"S042","I19","old","maintain","yes",1917,1917
"S042","I20","old","break","yes",1829,1829
"S042","I21","new","maintain","yes",1810,1810
"S042","I22","new","break","yes",2685,2685
"S042","I23","old","maintain","no",2385,2385
"S042","I24","old","break","no",2659,2659
"S042","I25","new","maintain","no",1815,1815
"S042","I26","new","break","no",3419,3419
"S042","I27","old","maintain","yes",1537,1537
"S042","I28","old","break","yes",2327,2327
"S042","I29","new","maintain","yes",1563,1563
"S042","I30","new","break","yes",4026,4026
"S042","I31","old","maintain","no",2261,2261
"S042","I32","old","break","no",3122,3122
"S043","I01","old","maintain","no",905,905
"S043","I02","old","break","no",2554,2554
"S043","I03","new","maintain","no",4211,4211
"S043","I04","new","break","no",1953,1953
"S043","I05","old","maintain","yes",1940,1940
"S043","I06","old","break","yes",5171,6069
"S043","I07","new","maintain","yes",2667,2667
"S043","I08","new","break","yes",5171,6488
"S043","I09","old","maintain","no",2189,2189
"S043","I10","old","break","no",1769,1769
"S043","I11","new","maintain","no",1248,1248
"S043","I12","new","break","no",2688,2688
"S043","I13","old","maintain","yes",3680,3680
"S043","I14","old","break","yes",5171,6087
"S043","I15","new","maintain","yes",1851,1851
"S043","I16","new","break","yes",5171,5325
"S043","I17","old","maintain","no",1844,1844
"S043","I18","old","break","no",1542,1542
"S043","I19","new","maintain","no",1256,1256
"S043","I20","new","break","no",1568,1568
"S043","I21","old","maintain","yes",1229,1229
"S043","I22","old","break","yes",5148,5148
"S043","I23","new","maintain","yes",3567,3567
"S043","I24","new","break","yes",4481,4481
"S043","I25","old","maintain","no",4059,4059
"S043","I26","old","break","no",3259,3259
"S043","I27","new","maintain","no",1557,1557
"S043","I28","new","break","no",1906,1906
"S043","I29","old","maintain","yes",5171,5508
"S043","I30","old","break","yes",2043,2043
"S043","I31","new","maintain","yes",1561,1561
"S043","I32","new","break","yes",2642,2642
"S044","I01","old","break","yes",1245,1245
"S044","I02","new","maintain","yes",2634,2634
"S044","I03","new","break","yes",2688,2688
"S044","I04","old","maintain","no",1713,1713
"S044","I05","old","break","no",1919,1919
"S044","I06","new","maintain","no",1302,1302
"S044","I07","new","break","no",3368,3368
"S044","I08","old","maintain","yes",1521,1521
"S044","I09","old","break","yes",2569,2569
"S044","I10","new","maintain","yes",947,947
"S044","I11","new","break","yes",1448,1448
"S044","I12","old","maintain","no",2187,2187
"S044","I13","old","break","no",2397,2397
"S044","I14","new","maintain","no",1059,1059
"S044","I15","new","break","no",2873,2873
"S044","I16","old","maintain","yes",1319,1319
"S044","I17","old","break","yes",1965,1965
"S044","I18","new","maintain","yes",1703,1703
"S044","I19","new","break","yes",1356,1356
"S044","I20","old","maintain","no",1509,1509
"S044","I21","old","break","no",1208,1208
"S044","I22","new","maintain","no",1283,1283
"S044","I23","new","break","no",4358,4358
"S044","I24","old","maintain","yes",1577,1577
"S044","I25","old","break","yes",1795,1795
"S044","I26","new","maintain","yes",1257,1257
"S044","I27","new","break","yes",2318,2318
"S044","I28","old","maintain","no",1305,1305
"S044","I29","old","break","no",2884,2884
"S044","I30","new","maintain","no",2383,2383
"S044","I31","new","break","no",2703,2703
"S044","I32","old","maintain","yes",1300,1300
"S045","I01","old","maintain","yes",1987,1987
"S045","I02","old","break","yes",4116,4116
"S045","I03","new","maintain","yes",2408,2408
"S045","I04","new","break","yes",4917,4917
"S045","I05","old","maintain","no",2420,2420
"S045","I06","old","break","no",2824,2824
"S045","I07","new","maintain","no",2046,2046
"S045","I08","new","break","no",2162,2162
"S045","I09","old","maintain","yes",2670,2670
"S045","I10","old","break","yes",2450,2450
"S045","I11","new","maintain","yes",2109,2109
"S045","I12","new","break","yes",3709,3709
"S045","I13","old","maintain","no",3820,3820
"S045","I14","old","break","no",2081,2081
"S045","I15","new","maintain","no",2292,2292
"S045","I16","new","break","no",4644,4644
"S045","I17","old","maintain","yes",3186,3186
"S045","I18","old","break","yes",1502,1502
"S045","I19","new","maintain","yes",1757,1757
"S045","I20","new","break","yes",1528,1528
"S045","I21","old","maintain","no",1549,1549
"S045","I22","old","break","no",1604,1604
"S045","I23","new","maintain","no",2004,2004
"S045","I24","new","break","no",2579,2579
"S045","I25","old","maintain","yes",1695,1695
"S045","I26","old","break","yes",3039,3039
"S045","I27","new","maintain","yes",1837,1837
"S045","I28","new","break","yes",2747,2747
"S045","I29","old","maintain","no",1382,1382
"S045","I30","old","break","no",2563,2563
"S045","I31","new","maintain","no",2442,2442
"S045","I32","new","break","no",2182,2182
"S046","I01","new","maintain","yes",1706,1706
"S046","I02","new","break","yes",2093,2093
"S046","I03","old","maintain","no",1688,1688
"S046","I04","old","break","no",1973,1973
"S046","I05","new","maintain","no",1418,1418
"S046","I06","new","break","no",2404,2404
"S046","I07","old","maintain","yes",1545,1545
"S046","I08","old","break","yes",2041,2041
"S046","I09","new","maintain","yes",1748,1748
"S046","I10","new","break","yes",1228,1228
"S046","I11","old","maintain","no",1508,1508
"S046","I12","old","break","no",3368,3368
"S046","I13","new","maintain","no",1777,1777
"S046","I14","new","break","no",1901,1901
"S046","I15","old","maintain","yes",1391,1391
"S046","I16","old","break","yes",3082,3082
"S046","I17","new","maintain","yes",1484,1484
"S046","I18","new","break","yes",1962,1962
"S046","I19","old","maintain","no",1075,1075
"S046","I20","old","break","no",1328,1328
"S046","I21","new","maintain","no",1409,1409
"S046","I22","new","break","no",1803,1803
"S046","I23","old","maintain","yes",2305,2305
"S046","I24","old","break","yes",3260,3260
"S046","I25","new","maintain","yes",1554,1554
"S046","I26","new","break","yes",1417,1417
"S046","I27","old","maintain","no",1076,1076
"S046","I28","old","break","no",1886,1886
"S046","I29","new","maintain","no",1302,1302
"S046","I30","new","break","no",2864,2864
"S046","I31","old","maintain","yes",1280,1280
"S046","I32","old","break","yes",2041,2041
"S047","I01","old","break","no",1406,1406
"S047","I02","new","maintain","no",1853,1853
"S047","I03","new","break","no",1087,1087
"S047","I04","old","maintain","yes",1752,1752
"S047","I05","old","break","yes",1819,1819
"S047","I06","new","maintain","yes",1402,1402
"S047","I07","new","break","yes",2026,2026
"S047","I08","old","maintain","no",2221,2221
"S047","I09","old","break","no",1348,1348
"S047","I10","new","maintain","no",1929,1929
"S047","I11","new","break","no",1248,1248
"S047","I12","old","maintain","yes",3429,3429
"S047","I13","old","break","yes",1796,1796
"S047","I14","new","maintain","yes",1401,1401
"S047","I15","new","break","yes",1571,1571
"S047","I16","old","maintain","no",3402,3402
"S047","I17","old","break","no",2045,2045
"S047","I18","new","maintain","no",1422,1422
"S047","I19","new","break","no",3039,3039
"S047","I20","old","maintain","yes",1689,1689
"S047","I21","old","break","yes",3832,3832
"S047","I22","new","maintain","yes",1203,1203
"S047","I23","new","break","yes",1524,1524
"S047","I24","old","maintain","no",1136,1136
"S047","I25","old","break","no",2175,2175
"S047","I26","new","maintain","no",1797,1797
"S047","I27","new","break","no",1296,1296
"S047","I28","old","maintain","yes",2527,2527
"S047","I29","old","break","yes",1602,1602
"S047","I30","new","maintain","yes",1882,1882
"S047","I31","new","break","yes",1741,1741
"S047","I32","old","maintain","no",1460,1460
"S048","I01","new","break","no",1246,1246
"S048","I02","old","maintain","yes",2133,2133
"S048","I03","old","break","yes",1647,1647
"S048","I04","new","maintain","yes",1372,1372
"S048","I05","new","break","yes",3281,3281
"S048","I06","old","maintain","no",1322,1322
"S048","I07","old","break","no",5171,5631
"S048","I08","new","maintain","no",1601,1601
"S048","I09","new","break","no",1668,1668
"S048","I10","old","maintain","yes",1628,1628
"S048","I11","old","break","yes",1768,1768
"S048","I12","new","maintain","yes",3428,3428
"S048","I13","new","break","yes",1877,1877
"S048","I14","old","maintain","no",1620,1620
"S048","I15","old","break","no",3515,3515
"S048","I16","new","maintain","no",1239,1239
"S048","I17","new","break","no",1724,1724
"S048","I18","old","maintain","yes",1703,1703
"S048","I19","old","break","yes",2398,2398
"S048","I20","new","maintain","yes",1389,1389
"S048","I21","new","break","yes",1469,1469
"S048","I22","old","maintain","no",1503,1503
"S048","I23","old","break","no",2365,2365
"S048","I24","new","maintain","no",1898,1898
"S048","I25","new","break","no",1615,1615
"S048","I26","old","maintain","yes",1737,1737
"S048","I27","old","break","yes",1497,1497
"S048","I28","new","maintain","yes",2546,2546
"S048","I29","new","break","yes",1423,1423
"S048","I30","old","maintain","no",1802,1802
"S048","I31","old","break","no",2402,2402
"S048","I32","new","maintain","no",1119,1119
"S049","I01","new","maintain","no",1545,1545
"S049","I02","new","break","no",1852,1852
"S049","I03","old","maintain","yes",2468,2468
"S049","I04","old","break","yes",5171,10505
"S049","I05","new","maintain","yes",1339,1339
"S049","I06","new","break","yes",2143,2143
"S049","I07","old","maintain","no",1405,1405
"S049","I08","old","break","no",4886,4886
"S049","I09","new","maintain","no",1608,1608
"S049","I10","new","break","no",1869,1869
"S049","I11","old","maintain","yes",1168,1168
"S049","I12","old","break","yes",4310,4310
"S049","I13","new","maintain","yes",1476,1476
"S049","I14","new","break","yes",5171,12656
"S049","I15","old","maintain","no",2833,2833
"S049","I16","old","break","no",2581,2581
"S049","I17","new","maintain","no",2405,2405
"S049","I18","new","break","no",1483,1483
"S049","I19","old","maintain","yes",1957,1957
"S049","I20","old","break","yes",1949,1949
"S049","I21","new","maintain","yes",1369,1369
"S049","I22","new","break","yes",2925,2925
"S049","I23","old","maintain","no",1383,1383
"S049","I24","old","break","no",2759,2759
"S049","I25","new","maintain","no",2276,2276
"S049","I26","new","break","no",1617,1617
"S049","I27","old","maintain","yes",1457,1457
"S049","I28","old","break","yes",3408,3408
"S049","I29","new","maintain","yes",1162,1162
"S049","I30","new","break","yes",1522,1522
"S049","I31","old","maintain","no",2242,2242
"S049","I32","old","break","no",2121,2121
"S050","I01","new","break","yes",1346,1346
"S050","I02","old","maintain","no",2744,2744
"S050","I03","old","break","no",1687,1687
"S050","I04","new","maintain","no",1953,1953
"S050","I05","new","break","no",1719,1719
"S050","I06","old","maintain","yes",1322,1322
"S050","I07","old","break","yes",3649,3649
"S050","I08","new","maintain","yes",1220,1220
"S050","I09","new","break","yes",3851,3851
"S050","I10","old","maintain","no",1168,1168
"S050","I11","old","break","no",1248,1248
"S050","I12","new","maintain","no",1987,1987
"S050","I13","new","break","no",1857,1857
"S050","I14","old","maintain","yes",2262,2262
"S050","I15","old","break","yes",1772,1772
"S050","I16","new","maintain","yes",3503,3503
"S050","I17","new","break","yes",1264,1264
"S050","I18","old","maintain","no",1562,1562
"S050","I19","old","break","no",2478,2478
"S050","I20","new","maintain","no",1108,1108
"S050","I21","new","break","no",1268,1268
"S050","I22","old","maintain","yes",1583,1583
"S050","I23","old","break","yes",2886,2886
"S050","I24","new","maintain","yes",1316,1316
"S050","I25","new","break","yes",2636,2636
"S050","I26","old","maintain","no",1777,1777
"S050","I27","old","break","no",1677,1677
"S050","I28","new","maintain","no",1565,1565
"S050","I29","new","break","no",1202,1202
"S050","I30","old","maintain","yes",1662,1662
"S050","I31","old","break","yes",2962,2962
"S050","I32","new","maintain","yes",1360,1360
"S051","I01","new","maintain","yes",2147,2147
"S051","I02","new","break","yes",3004,3004
"S051","I03","old","maintain","no",2408,2408
"S051","I04","old","break","no",4596,4596
"S051","I05","new","maintain","no",1779,1779
"S051","I06","new","break","no",2783,2783
"S051","I07","old","maintain","yes",3048,3048
"S051","I08","old","break","yes",2662,2662
"S051","I09","new","maintain","yes",2750,2750
"S051","I10","new","break","yes",1668,1668
"S051","I11","old","maintain","no",2089,2089
"S051","I12","old","break","no",3689,3689
"S051","I13","new","maintain","no",2258,2258
"S051","I14","new","break","no",4084,4084
"S051","I15","old","maintain","yes",2652,2652
"S051","I16","old","break","yes",2501,2501
"S051","I17","new","maintain","yes",2445,2445
"S051","I18","new","break","yes",2824,2824
"S051","I19","old","maintain","no",1857,1857
"S051","I20","old","break","no",1369,1369
"S051","I21","new","maintain","no",1749,1749
"S051","I22","new","break","no",2805,2805
"S051","I23","old","maintain","yes",3046,3046
"S051","I24","old","break","yes",3480,3480
"S051","I25","new","maintain","yes",1995,1995
"S051","I26","new","break","yes",2799,2799
"S051","I27","old","maintain","no",1657,1657
"S051","I28","old","break","no",2106,2106
"S051","I29","new","maintain","no",2705,2705
"S051","I30","new","break","no",3485,3485
"S051","I31","old","maintain","yes",1801,1801
"S051","I32","old","break","yes",2041,2041
"S052","I01","old","maintain","yes",1325,1325
"S052","I02","old","break","yes",4596,4596
"S052","I03","new","maintain","yes",2228,2228
"S052","I04","new","break","yes",3735,3735
"S052","I05","old","maintain","no",1458,1458
"S052","I06","old","break","no",2102,2102
"S052","I07","new","maintain","no",1866,1866
"S052","I08","new","break","no",1981,1981
"S052","I09","old","maintain","yes",2069,2069
"S052","I10","old","break","yes",1588,1588
"S052","I11","new","maintain","yes",1628,1628
"S052","I12","new","break","yes",3228,3228
"S052","I13","old","maintain","no",1477,1477
"S052","I14","old","break","no",4725,4725
"S052","I15","new","maintain","no",1651,1651
"S052","I16","new","break","no",1980,1980
"S052","I17","old","maintain","yes",1484,1484
"S052","I18","old","break","yes",2423,2423
"S052","I19","new","maintain","yes",1556,1556
"S052","I20","new","break","yes",1429,1429
"S052","I21","old","maintain","no",1349,1349
"S052","I22","old","break","no",2264,2264
"S052","I23","new","maintain","no",2686,2686
"S052","I24","new","break","no",2198,2198
"S052","I25","old","maintain","yes",2396,2396
"S052","I26","old","break","yes",1858,1858
"S052","I27","new","maintain","yes",1857,1857
"S052","I28","new","break","yes",2547,2547
"S052","I29","old","maintain","no",1503,1503
"S052","I30","old","break","no",2163,2163
"S052","I31","new","maintain","no",1981,1981
"S052","I32","new","break","no",2522,2522
"S053","I01","old","maintain","no",1525,1525
"S053","I02","old","break","no",5171,5478
"S053","I03","new","maintain","no",3330,3330
"S053","I04","new","break","no",1793,1793
"S053","I05","old","maintain","yes",1679,1679
"S053","I06","old","break","yes",4807,4807
"S053","I07","new","maintain","yes",1366,1366
"S053","I08","new","break","yes",5106,5106
"S053","I09","old","maintain","no",2550,2550
"S053","I10","old","break","no",1308,1308
"S053","I11","new","maintain","no",2250,2250
"S053","I12","new","break","no",3148,3148
"S053","I13","old","maintain","yes",2999,2999
"S053","I14","old","break","yes",5171,8330
"S053","I15","new","maintain","yes",1792,1792
"S053","I16","new","break","yes",4043,4043
"S053","I17","old","maintain","no",2245,2245
"S053","I18","old","break","no",3164,3164
"S053","I19","new","maintain","no",1816,1816
"S053","I20","new","break","no",1649,1649
"S053","I21","old","maintain","yes",1389,1389
"S053","I22","old","break","yes",2204,2204
"S053","I23","new","maintain","yes",3888,3888
"S053","I24","new","break","yes",2899,2899
"S053","I25","old","maintain","no",1915,1915
"S053","I26","old","break","no",3480,3480
"S053","I27","new","maintain","no",2338,2338
"S053","I28","new","break","no",4008,4008
"S053","I29","old","maintain","yes",1803,1803
"S053","I30","old","break","yes",2984,2984
"S053","I31","new","maintain","yes",2102,2102
"S053","I32","new","break","yes",3183,3183
"S054","I01","old","break","no",1826,1826
"S054","I02","new","maintain","no",1552,1552
"S054","I03","new","break","no",1567,1567
"S054","I04","old","maintain","yes",1632,1632
"S054","I05","old","break","yes",2460,2460
"S054","I06","new","maintain","yes",1662,1662
"S054","I07","new","break","yes",3569,3569
"S054","I08","old","maintain","no",1561,1561
"S054","I09","old","break","no",3832,3832
