"subj","item","trial","F","P","Q","lQ","lT","rt","speed"
"S01","SHOE",139,"LF","rel","clr","deg","NW",462,2.1645021645021645
"S01","HEART",142,"HF","unr","deg","deg","WD",505,1.9801980198019802
"S01","CHEAP",143,"LF","rel","deg","deg","WD",644,1.5527950310559007
"S01","POLICE",144,"HF","rel","deg","deg","WD",473,2.1141649048625792
"S01","WHEN",146,"HF","unr","clr","clr","NW",589,1.697792869269949
"S01","BALLOON",147,"LF","unr","clr","clr","WD",597,1.6750418760469012
"S01","SWIM",148,"LF","rel","deg","clr","WD",540,1.8518518518518519
"S01","STRONG",150,"HF","rel","deg","deg","NW",541,1.8484288354898337
"S01","FLOOR",151,"HF","rel","clr","deg","WD",583,1.7152658662092624
"S01","WOOL",156,"LF","rel","deg","clr","NW",551,1.8148820326678765
"S01","PULL",160,"HF","unr","clr","clr","NW",520,1.9230769230769231
"S01","FATHER",166,"HF","rel","clr","deg","NW",575,1.7391304347826086
"S01","VAMPIRE",167,"LF","unr","deg","clr","WD",663,1.5082956259426847
"S01","UGLY",168,"LF","unr","deg","deg","WD",651,1.5360983102918586
"S01","HOLD",171,"HF","rel","deg","clr","NW",509,1.9646365422396856
"S01","SILVER",172,"LF","rel","deg","deg","WD",696,1.4367816091954022
"S01","ROCKET",174,"LF","unr","clr","clr","NW",455,2.197802197802198
"S01","OYSTER",175,"LF","unr","clr","clr","WD",564,1.7730496453900708
"S01","HOME",180,"HF","rel","deg","deg","NW",551,1.8148820326678765
"S01","HEAT",181,"LF","unr","clr","deg","WD",576,1.7361111111111112
"S01","MOUTH",183,"HF","unr","deg","deg","NW",695,1.4388489208633093
"S01","JACKET",185,"LF","rel","clr","clr","NW",755,1.3245033112582782
"S01","STAMP",186,"LF","unr","deg","clr","WD",756,1.3227513227513228
"S01","CRASH",188,"LF","unr","clr","deg","NW",569,1.757469244288225
"S01","SPACE",189,"HF","rel","deg","clr","WD",608,1.644736842105263
"S01","NAVY",192,"LF","unr","deg","clr","NW",621,1.6103059581320451
"S01","IDEA",194,"HF","rel","deg","clr","NW",556,1.7985611510791366
"S01","GARBAGE",200,"LF","rel","clr","clr","NW",555,1.8018018018018018
"S01","BLADE",201,"LF","unr","deg","clr","WD",645,1.550387596899225
"S01","BIRD",202,"LF","rel","deg","deg","WD",473,2.1141649048625792
"S01","MAKE",203,"HF","unr","deg","deg","WD",613,1.6313213703099512
"S01","HORSE",207,"HF","unr","clr","deg","NW",568,1.7605633802816902
"S01","GLORY",208,"LF","rel","clr","clr","WD",481,2.079002079002079
"S01","FIRE",210,"HF","rel","deg","clr","NW",677,1.4771048744460857
"S01","STOP",213,"HF","rel","deg","clr","NW",533,1.876172607879925
"S01","HIDE",214,"LF","unr","clr","deg","WD",511,1.9569471624266144
"S01","GRASS",217,"HF","rel","clr","deg","NW",477,2.0964360587002098
"S01","JUMP",218,"LF","rel","clr","clr","WD",567,1.763668430335097
"S01","DARK",223,"HF","unr","deg","deg","NW",543,1.8416206261510129
"S01","WINE",224,"HF","rel","deg","deg","WD",553,1.8083182640144666
"S01","ANGER",227,"LF","rel","deg","clr","NW",669,1.4947683109118086
"S01","STUDY",230,"HF","rel","clr","deg","NW",442,2.262443438914027
"S01","COWBOY",231,"LF","unr","deg","clr","WD",487,2.0533880903490758
"S01","HELP",232,"HF","unr","deg","deg","WD",675,1.4814814814814814
"S01","NICE",233,"LF","rel","clr","deg","WD",455,2.197802197802198
"S01","WASH",236,"LF","rel","clr","clr","NW",488,2.0491803278688523
"S01","PLANT",237,"HF","rel","deg","clr","WD",628,1.5923566878980893
"S01","HAIR",239,"HF","rel","deg","clr","NW",597,1.6750418760469012
"S01","TUNE",240,"LF","unr","clr","deg","WD",653,1.5313935681470139
"S01","MORE",243,"HF","rel","clr","deg","NW",575,1.7391304347826086
"S01","GLUE",246,"LF","rel","clr","clr","NW",510,1.9607843137254901
"S01","RUBBER",247,"LF","unr","clr","clr","WD",505,1.9801980198019802
"S01","ANSWER",249,"HF","unr","deg","deg","WD",663,1.5082956259426847
"S01","BUNNY",254,"LF","rel","deg","deg","NW",586,1.7064846416382253
"S01","STONE",255,"HF","rel","clr","deg","WD",466,2.1459227467811157
"S01","OVEN",257,"LF","rel","deg","clr","NW",488,2.0491803278688523
"S01","RIDE",258,"HF","rel","clr","deg","WD",531,1.8832391713747645
"S01","INSECT",260,"LF","unr","clr","clr","NW",502,1.9920318725099602
"S01","WEIGHT",262,"LF","unr","deg","clr","NW",556,1.7985611510791366
"S01","SORRY",265,"HF","rel","deg","clr","NW",731,1.3679890560875514
"S01","GUILTY",269,"LF","rel","clr","deg","NW",492,2.032520325203252
"S01","CORN",271,"LF","rel","deg","clr","NW",559,1.7889087656529516
"S01","FROG",273,"LF","rel","deg","deg","NW",561,1.7825311942959001
"S01","HINT",276,"LF","rel","clr","deg","NW",533,1.876172607879925
"S01","FRIGHT",277,"LF","rel","deg","clr","WD",670,1.492537313432836
"S01","BLUE",278,"HF","unr","clr","deg","WD",467,2.1413276231263385
"S01","COAT",283,"LF","rel","deg","clr","NW",628,1.5923566878980893
"S01","STORM",286,"LF","rel","deg","clr","NW",521,1.9193857965451055
"S01","KING",290,"LF","unr","deg","deg","WD",648,1.5432098765432098
"S01","CANDY",296,"LF","rel","clr","deg","NW",461,2.1691973969631237
"S01","MANY",299,"HF","rel","deg","clr","NW",684,1.4619883040935673
"S01","JUICE",301,"LF","unr","clr","deg","NW",516,1.937984496124031
"S01","RIBS",308,"LF","unr","deg","deg","NW",672,1.4880952380952381
"S01","BEST",311,"HF","rel","clr","clr","NW",428,2.336448598130841
"S01","OPEN",313,"HF","rel","clr","clr","NW",523,1.9120458891013383
"S01","PURPLE",314,"LF","unr","clr","clr","WD",613,1.6313213703099512
"S01","REASON",315,"HF","unr","clr","clr","WD",572,1.7482517482517483
"S01","CHEAT",316,"LF","unr","clr","clr","WD",835,1.1976047904191616
"S01","SCENT",319,"LF","unr","clr","clr","NW",491,2.0366598778004072
"S01","ENGINE",320,"HF","unr","clr","clr","WD",645,1.550387596899225
"S01","SEAT",324,"HF","rel","deg","deg","NW",484,2.0661157024793386
"S01","LIQUID",325,"HF","rel","clr","deg","WD",528,1.893939393939394
"S01","SPORT",327,"LF","rel","clr","deg","NW",466,2.1459227467811157
"S01","ALONE",328,"HF","unr","deg","clr","WD",558,1.7921146953405018
"S01","SCHOOL",330,"HF","unr","clr","clr","NW",509,1.9646365422396856
"S01","NIGHT",333,"HF","unr","deg","clr","NW",506,1.976284584980237
"S01","CIRCLE",336,"HF","unr","clr","clr","NW",490,2.0408163265306123
"S01","FRUIT",338,"LF","unr","deg","deg","WD",520,1.9230769230769231
"S01","PUPPY",341,"LF","unr","clr","deg","NW",664,1.5060240963855422
"S01","TELL",342,"HF","rel","clr","clr","WD",492,2.032520325203252
"S01","LOUD",343,"LF","rel","clr","clr","WD",392,2.5510204081632653
"S01","TRAIN",344,"LF","rel","deg","clr","WD",535,1.8691588785046729
"S01","MOUSE",345,"LF","rel","clr","deg","WD",385,2.5974025974025974
"S01","EARTH",346,"HF","unr","deg","clr","WD",465,2.150537634408602
"S01","SOCCER",349,"LF","unr","deg","deg","NW",633,1.5797788309636651
"S01","BANANA",350,"LF","rel","deg","deg","WD",527,1.8975332068311195
"S01","BREAD",352,"LF","unr","deg","deg","NW",703,1.422475106685633
"S01","PLAY",353,"HF","unr","clr","deg","WD",483,2.070393374741201
"S01","THINK",354,"HF","rel","deg","clr","WD",462,2.1645021645021645
"S01","TIRED",355,"HF","unr","deg","deg","WD",507,1.9723865877712032
"S01","STREET",356,"HF","unr","deg","deg","WD",486,2.05761316872428
"S01","CARE",360,"HF","rel","clr","clr","NW",518,1.9305019305019304
"S01","DUCK",362,"LF","rel","clr","deg","NW",516,1.937984496124031
"S01","SOUR",368,"LF","rel","clr","clr","NW",471,2.1231422505307855
"S01","REEF",369,"LF","rel","deg","clr","WD",660,1.5151515151515151
"S01","MATH",370,"LF","unr","clr","deg","WD",616,1.6233766233766234
"S01","TIGER",372,"LF","unr","deg","clr","NW",557,1.7953321364452424
"S01","PUSH",373,"LF","unr","clr","deg","WD",726,1.3774104683195592
"S01","PICK",377,"HF","rel","clr","clr","NW",549,1.8214936247723132
"S01","COST",381,"HF","rel","clr","clr","NW",452,2.2123893805309733
"S01","LIFE",382,"HF","unr","clr","clr","WD",466,2.1459227467811157
"S01","FRONT",383,"HF","rel","clr","clr","WD",446,2.242152466367713
"S01","JAIL",384,"LF","rel","clr","clr","WD",475,2.1052631578947367
"S01","BRAVE",386,"LF","rel","clr","deg","NW",588,1.7006802721088434
"S01","SMOKE",387,"HF","unr","clr","clr","WD",420,2.380952380952381
"S01","MELT",388,"LF","unr","clr","clr","WD",547,1.8281535648994516
"S01","FINAL",390,"HF","rel","clr","clr","NW",538,1.858736059479554
"S01","FLOWER",393,"LF","unr","clr","deg","NW",420,2.380952380952381
"S01","POINT",394,"HF","unr","clr","clr","WD",579,1.7271157167530224
"S01","FINGER",395,"HF","unr","deg","clr","WD",539,1.8552875695732838
"S01","SLIMY",400,"LF","rel","clr","clr","NW",747,1.3386880856760375
"S01","PEACE",402,"HF","rel","clr","deg","NW",465,2.150537634408602
"S01","FISH",404,"LF","unr","deg","deg","NW",565,1.7699115044247788
"S01","WEIRD",405,"LF","rel","clr","deg","WD",477,2.0964360587002098
"S01","TEAR",406,"LF","rel","clr","clr","WD",521,1.9193857965451055
"S01","HURT",408,"LF","rel","deg","deg","NW",540,1.8518518518518519
"S01","READ",409,"HF","unr","deg","deg","WD",452,2.2123893805309733
"S01","SHINE",411,"LF","unr","clr","clr","NW",556,1.7985611510791366
"S01","FIELD",412,"HF","rel","clr","clr","WD",437,2.288329519450801
"S01","BREAK",415,"LF","unr","clr","clr","NW",502,1.9920318725099602
"S01","ACHE",416,"LF","unr","deg","clr","WD",546,1.8315018315018314
"S01","DONE",417,"HF","rel","clr","deg","WD",507,1.9723865877712032
"S01","HAND",420,"HF","unr","clr","deg","NW",548,1.8248175182481752
"S01","HOTEL",421,"HF","rel","deg","clr","WD",524,1.9083969465648856
"S01","PLANE",422,"HF","unr","deg","deg","WD",438,2.2831050228310503
"S01","SHOW",425,"HF","unr","deg","clr","NW",637,1.5698587127158556
"S01","STICK",426,"LF","rel","deg","deg","WD",562,1.7793594306049823
"S01","PANTS",427,"LF","rel","deg","deg","WD",443,2.2573363431151243
"S01","GIRL",428,"HF","unr","deg","deg","WD",537,1.86219739292365
"S01","EAGLE",429,"LF","rel","deg","deg","WD",450,2.2222222222222223
"S01","SEAFOOD",430,"LF","unr","deg","deg","WD",479,2.0876826722338206
"S01","CHANGE",434,"HF","unr","clr","deg","NW",461,2.1691973969631237
"S01","BEAR",435,"HF","unr","deg","clr","WD",714,1.4005602240896358
"S01","ARMY",436,"HF","unr","deg","deg","WD",525,1.9047619047619047
"S01","RULER",437,"LF","unr","clr","deg","WD",503,1.9880715705765408
"S01","WATER",438,"HF","rel","clr","clr","WD",466,2.1459227467811157
"S01","MORNING",439,"HF","unr","deg","clr","WD",510,1.9607843137254901
"S01","SAME",440,"HF","unr","clr","deg","WD",425,2.3529411764705883
"S01","BOAT",441,"HF","unr","deg","clr","WD",440,2.272727272727273
"S01","LEAD",443,"HF","unr","clr","deg","NW",591,1.6920473773265652
"S01","SHORT",444,"HF","unr","deg","clr","WD",631,1.5847860538827259
"S01","THREAD",445,"LF","unr","deg","deg","WD",477,2.0964360587002098
"S01","FEMALE",446,"HF","rel","deg","deg","WD",442,2.262443438914027
"S01","MONKEY",447,"LF","rel","clr","deg","WD",375,2.6666666666666665
"S01","BELL",449,"LF","unr","clr","clr","NW",578,1.7301038062283738
"S01","HANDS",450,"HF","unr","deg","clr","WD",474,2.109704641350211
"S01","MAIL",453,"LF","rel","deg","clr","NW",532,1.8796992481203008
"S01","FRIEND",455,"HF","unr","deg","deg","NW",484,2.0661157024793386
"S01","WEST",459,"HF","unr","deg","clr","NW",577,1.733102253032929
"S01","NERVOUS",460,"LF","unr","clr","deg","WD",537,1.86219739292365
"S01","TAKE",461,"HF","unr","clr","clr","WD",515,1.941747572815534
"S01","SAND",463,"LF","rel","clr","deg","NW",551,1.8148820326678765
"S01","STICKY",464,"LF","rel","deg","clr","WD",625,1.6
"S01","SHOWER",465,"LF","rel","deg","deg","WD",487,2.0533880903490758
"S01","SECOND",466,"HF","rel","clr","deg","WD",547,1.8281535648994516
"S01","SCARE",471,"LF","unr","deg","clr","NW",635,1.5748031496062993
"S01","DESTROY",472,"HF","unr","clr","deg","WD",512,1.953125
"S01","LIGHT",473,"HF","rel","clr","clr","WD",443,2.2573363431151243
"S01","BACK",477,"HF","unr","clr","clr","NW",546,1.8315018315018314
"S01","MEAN",478,"HF","rel","deg","clr","WD",651,1.5360983102918586
"S01","THIEF",480,"LF","unr","deg","clr","WD",487,2.0533880903490758
"S02","MORNING",3,"HF","rel","deg","deg","NW",802,1.2468827930174564
"S02","READ",8,"HF","rel","deg","clr","NW",524,1.9083969465648856
"S02","COAT",9,"LF","unr","clr","deg","WD",694,1.440922190201729
"S02","SHOWER",13,"LF","unr","clr","clr","NW",754,1.3262599469496021
"S02","GRASS",16,"HF","unr","deg","clr","NW",1100,0.9090909090909091
"S02","BLADE",17,"LF","rel","deg","deg","WD",623,1.6051364365971108
"S02","JAIL",21,"LF","unr","deg","deg","NW",648,1.5432098765432098
"S02","SHINE",22,"LF","rel","clr","deg","WD",924,1.0822510822510822
"S02","HOLD",23,"HF","unr","clr","clr","WD",631,1.5847860538827259
"S02","HAND",28,"HF","rel","clr","clr","NW",661,1.51285930408472
"S02","PLANT",30,"HF","unr","clr","deg","NW",714,1.4005602240896358
"S02","HAIR",31,"HF","unr","clr","clr","WD",589,1.697792869269949
"S02","HAVE",33,"HF","unr","clr","clr","NW",692,1.4450867052023122
"S02","OPEN",34,"HF","unr","deg","clr","WD",697,1.4347202295552368
"S02","GARBAGE",37,"LF","unr","deg","deg","NW",715,1.3986013986013985
"S02","POLICE",38,"HF","unr","clr","deg","WD",670,1.492537313432836
"S02","OCEAN",40,"LF","rel","deg","clr","NW",632,1.5822784810126582
"S02","OYSTER",43,"LF","rel","clr","deg","NW",840,1.1904761904761905
"S02","GUILTY",44,"LF","unr","deg","clr","WD",694,1.440922190201729
"S02","RULER",45,"LF","rel","clr","deg","WD",714,1.4005602240896358
"S02","PULL",46,"HF","rel","clr","clr","WD",621,1.6103059581320451
"S02","SOCCER",48,"LF","rel","deg","deg","NW",826,1.2106537530266344
"S02","MAKE",50,"HF","rel","deg","deg","WD",689,1.4513788098693758
"S02","ANSWER",51,"HF","rel","deg","deg","WD",597,1.6750418760469012
"S02","STUDY",54,"HF","unr","deg","clr","NW",608,1.644736842105263
"S02","LIKE",55,"HF","unr","deg","deg","WD",663,1.5082956259426847
"S02","KNOW",58,"HF","rel","clr","deg","NW",698,1.4326647564469914
"S02","BELL",59,"LF","rel","clr","clr","WD",574,1.7421602787456445
"S02","FATHER",60,"HF","unr","deg","clr","WD",646,1.5479876160990713
"S02","STICK",61,"LF","unr","clr","deg","WD",1291,0.774593338497289
"S02","MOUTH",62,"HF","rel","deg","clr","WD",662,1.5105740181268883
"S02","JOKE",63,"LF","rel","clr","deg","WD",1882,0.5313496280552603
"S02","GOAL",66,"LF","unr","deg","clr","NW",1044,0.9578544061302682
"S02","SMART",67,"LF","unr","clr","deg","WD",632,1.5822784810126582
"S02","SAME",70,"HF","rel","clr","deg","WD",925,1.0810810810810811
"S02","DONE",72,"HF","unr","deg","deg","NW",588,1.7006802721088434
"S02","YEAR",74,"HF","rel","deg","deg","NW",839,1.1918951132300357
"S02","BIRD",75,"LF","unr","clr","deg","WD",773,1.2936610608020698
"S02","HEAD",76,"HF","rel","clr","clr","WD",757,1.321003963011889
"S02","CIRCLE",77,"HF","rel","clr","clr","WD",917,1.0905125408942202
"S02","HOSTAGE",79,"LF","rel","deg","deg","NW",856,1.1682242990654206
"S02","LOUD",80,"LF","unr","deg","deg","WD",1076,0.929368029739777
"S02","MATH",83,"LF","rel","clr","clr","NW",561,1.7825311942959001
"S02","HANGER",84,"LF","rel","deg","clr","WD",713,1.402524544179523
"S02","BLACK",85,"HF","unr","clr","deg","WD",1036,0.9652509652509652
"S02","KING",86,"LF","rel","deg","clr","WD",498,2.0080321285140563
"S02","HURT",87,"LF","unr","clr","deg","WD",541,1.8484288354898337
"S02","SORRY",92,"HF","unr","clr","deg","NW",607,1.6474464579901154
"S02","SECOND",93,"HF","unr","deg","clr","WD",822,1.2165450121654502
"S02","FINAL",98,"HF","unr","deg","deg","NW",580,1.7241379310344827
"S02","STAMP",99,"LF","rel","deg","deg","WD",972,1.02880658436214
"S02","SODA",100,"LF","unr","deg","deg","WD",693,1.443001443001443
"S02","JACKET",102,"LF","unr","deg","deg","NW",600,1.6666666666666667
"S02","COWBOY",103,"LF","rel","deg","deg","WD",687,1.455604075691412
"S02","FINGER",108,"HF","rel","deg","deg","NW",639,1.5649452269170578
"S02","COST",109,"HF","unr","deg","deg","WD",1188,0.8417508417508418
"S02","SPORT",112,"LF","unr","deg","deg","NW",757,1.321003963011889
"S02","STRONG",113,"HF","unr","clr","deg","WD",663,1.5082956259426847
"S02","HABIT",115,"LF","rel","clr","clr","NW",653,1.5313935681470139
"S02","FRIGHT",117,"LF","unr","clr","deg","NW",725,1.3793103448275863
"S02","BALLOON",118,"LF","rel","clr","clr","WD",552,1.8115942028985508
"S02","GONE",121,"HF","rel","clr","deg","NW",543,1.8416206261510129
"S02","FROG",123,"LF","unr","clr","deg","NW",541,1.8484288354898337
"S02","WEIRD",129,"LF","unr","deg","clr","NW",833,1.2004801920768307
"S02","LIFE",130,"HF","rel","clr","deg","WD",559,1.7889087656529516
"S02","MANY",133,"HF","unr","clr","deg","NW",539,1.8552875695732838
"S02","UGLY",138,"LF","rel","deg","clr","NW",555,1.8018018018018018
"S02","CORN",139,"LF","unr","clr","deg","WD",613,1.6313213703099512
"S02","PEACE",142,"HF","unr","deg","clr","NW",844,1.1848341232227488
"S02","HORSE",143,"HF","rel","clr","deg","WD",489,2.044989775051125
"S02","TIGER",148,"LF","rel","deg","clr","NW",583,1.7152658662092624
"S02","SIGN",150,"LF","unr","deg","deg","NW",597,1.6750418760469012
"S02","DEFEND",153,"LF","rel","deg","clr","NW",1546,0.6468305304010349
"S02","IDEA",154,"HF","unr","clr","deg","WD",668,1.4970059880239521
"S02","STOP",156,"HF","unr","clr","clr","NW",691,1.447178002894356
"S02","SHIRT",159,"LF","rel","clr","clr","NW",527,1.8975332068311195
"S02","TIRED",160,"HF","rel","deg","clr","WD",616,1.6233766233766234
"S02","BEAR",164,"HF","rel","deg","clr","NW",945,1.0582010582010581
"S02","HIDE",166,"LF","rel","clr","deg","NW",668,1.4970059880239521
"S02","SCHOOL",170,"HF","rel","clr","clr","NW",522,1.9157088122605364
"S02","PRESENT",172,"HF","rel","clr","deg","NW",646,1.5479876160990713
"S02","WINE",173,"HF","unr","clr","clr","WD",540,1.8518518518518519
"S02","WHEN",177,"HF","rel","clr","clr","NW",562,1.7793594306049823
"S02","BRAVE",178,"LF","unr","deg","clr","WD",666,1.5015015015015014
"S02","SNAKE",180,"LF","rel","deg","clr","NW",591,1.6920473773265652
"S02","WITCH",181,"LF","rel","clr","deg","WD",503,1.9880715705765408
"S02","SHOW",182,"HF","rel","deg","clr","WD",705,1.4184397163120568
"S02","FEMALE",188,"HF","unr","clr","deg","NW",602,1.6611295681063123
"S02","SCENT",189,"LF","rel","clr","clr","WD",834,1.1990407673860912
"S02","HEART",190,"HF","rel","deg","clr","WD",992,1.0080645161290323
"S02","CENTER",191,"HF","rel","clr","deg","WD",854,1.17096018735363
"S02","RUBBER",192,"LF","rel","clr","clr","WD",884,1.1312217194570136
"S02","FLOOR",194,"HF","unr","deg","clr","NW",570,1.7543859649122806
"S02","BLUE",198,"HF","rel","clr","clr","NW",530,1.8867924528301887
"S02","FRONT",200,"HF","unr","deg","deg","NW",650,1.5384615384615385
"S02","CHEAP",201,"LF","unr","clr","deg","WD",590,1.694915254237288
"S02","ORANGE",202,"LF","rel","clr","clr","WD",518,1.9305019305019304
"S02","GLORY",203,"LF","unr","deg","clr","WD",1025,0.975609756097561
"S02","PUSH",206,"LF","rel","clr","clr","NW",687,1.455604075691412
"S02","REASON",207,"HF","rel","clr","clr","WD",675,1.4814814814814814
"S02","VAMPIRE",208,"LF","rel","deg","clr","WD",646,1.5479876160990713
"S02","MIND",212,"HF","rel","deg","deg","NW",756,1.3227513227513228
"S02","THINK",214,"HF","unr","clr","clr","NW",522,1.9157088122605364
"S02","PRIEST",216,"LF","unr","clr","deg","NW",904,1.1061946902654867
"S02","ARMY",217,"HF","rel","deg","clr","WD",723,1.3831258644536653
"S02","DUMB",218,"LF","rel","deg","deg","WD",566,1.7667844522968197
"S02","ROCKET",219,"LF","rel","clr","deg","WD",558,1.7921146953405018
"S02","CASE",220,"HF","rel","clr","clr","WD",695,1.4388489208633093
"S02","GARDEN",222,"HF","unr","clr","clr","NW",557,1.7953321364452424
"S02","FISH",223,"LF","rel","deg","clr","WD",693,1.443001443001443
"S02","ANGER",224,"LF","unr","clr","deg","WD",696,1.4367816091954022
"S02","SMOKE",226,"HF","rel","clr","clr","NW",1059,0.9442870632672332
"S02","HANDS",229,"HF","rel","deg","deg","NW",532,1.8796992481203008
"S02","WHITE",230,"HF","unr","clr","deg","WD",974,1.0266940451745379
"S02","NUMBER",231,"HF","unr","clr","clr","WD",758,1.3192612137203166
"S02","FIELD",233,"HF","unr","deg","deg","NW",744,1.3440860215053763
"S02","HUNGER",235,"LF","unr","deg","deg","NW",546,1.8315018315018314
"S02","RIDE",236,"HF","unr","deg","deg","WD",588,1.7006802721088434
"S02","STICKY",245,"LF","unr","clr","deg","NW",572,1.7482517482517483
"S02","WASH",246,"LF","unr","deg","clr","WD",741,1.349527665317139
"S02","RIBS",248,"LF","rel","deg","clr","NW",860,1.1627906976744187
"S02","HINT",251,"LF","unr","deg","clr","NW",693,1.443001443001443
"S02","SEAFOOD",252,"LF","rel","deg","deg","WD",711,1.4064697609001406
"S02","MELT",255,"LF","rel","clr","clr","NW",928,1.0775862068965518
"S02","NERVOUS",256,"LF","rel","clr","clr","WD",650,1.5384615384615385
"S02","TRAIN",257,"LF","unr","clr","clr","WD",847,1.1806375442739079
"S02","THIEF",258,"LF","rel","deg","clr","WD",636,1.5723270440251573
"S02","PANTS",260,"LF","unr","clr","deg","NW",1061,0.942507068803016
"S02","BREAK",262,"LF","rel","clr","deg","NW",576,1.7361111111111112
"S02","PARTY",263,"HF","rel","clr","clr","WD",519,1.9267822736030829
"S02","INSECT",268,"LF","rel","clr","deg","NW",659,1.5174506828528074
"S02","MORE",272,"HF","unr","deg","clr","NW",774,1.2919896640826873
"S02","SPACE",274,"HF","unr","clr","clr","NW",939,1.0649627263045793
"S02","WRITE",277,"HF","unr","deg","deg","NW",669,1.4947683109118086
"S02","FLOWER",278,"LF","rel","clr","deg","WD",674,1.4836795252225519
"S02","CHEAT",279,"LF","rel","clr","clr","WD",1030,0.970873786407767
"S02","SKIN",280,"LF","rel","deg","clr","WD",860,1.1627906976744187
"S02","ROUND",285,"LF","unr","clr","deg","NW",889,1.124859392575928
"S02","MOUSE",286,"LF","unr","deg","clr","WD",740,1.3513513513513513
"S02","CANDY",287,"LF","unr","deg","deg","WD",806,1.2406947890818858
